sgRNA_ID	Gene	HAP1_T0
chr15:65425588-65425607_PDCD7_+	PDCD7	838.0
chr18:55253790-55253809_FECH_+	FECH	1324.0
chr21:38139527-38139546_HLCS_-	HLCS	1059.0
chr6:90312799-90312818_ANKRD6_+	ANKRD6	1406.0
chr14:34931408-34931427_SPTSSA_-	SPTSSA	532.0
chr6:13305394-13305413_TBC1D7_+	TBC1D7	1490.0
chr1:46751640-46751659_LRRC41_+	LRRC41	1412.0
chr1:155657864-155657883_YY1AP1_-	YY1AP1	993.0
chr5:77590284-77590303_AP3B1_+	AP3B1	458.0
chrX:15376193-15376212_FIGF_+	FIGF	368.0
chr22:40521845-40521864_TNRC6B_+	TNRC6B	1019.0
chr15:64980912-64980931_OAZ2_+	OAZ2	1009.0
chr12:4919213-4919232_KCNA6_+	KCNA6	339.0
chr17:40715086-40715105_COASY_-	COASY	437.0
chr15:85234818-85234837_SEC11A_-	SEC11A	449.0
chr2:235404722-235404741_ARL4C_-	ARL4C	500.0
chr2:220145302-220145321_DNAJB2_+	DNAJB2	1214.0
chr10:99093843-99093862_FRAT2_+	FRAT2	785.0
chr18:50683775-50683794_DCC_-	DCC	816.0
chr1:9164671-9164690_GPR157_-	GPR157	515.0
chr4:73185080-73185099_ADAMTS3_+	ADAMTS3	779.0
chr16:50583386-50583405_NKD1_+	NKD1	1049.0
chr5:40730424-40730443_TTC33_-	TTC33	1083.0
chr9:128677986-128678005_PBX3_-	PBX3	752.0
chr22:38455296-38455315_PICK1_+	PICK1	747.0
chr5:65440199-65440218_SREK1_+	SREK1	1017.0
chr6:46655924-46655943_TDRD6_-	TDRD6	546.0
chr15:40247942-40247961_EIF2AK4_+	EIF2AK4	528.0
chr19:42753407-42753426_ERF_+	ERF	639.0
chr16:449020-449039_NME4_-	NME4	1315.0
chr14:95679602-95679621_CLMN_-	CLMN	973.0
chr3:48726128-48726147_IP6K2_-	IP6K2	1021.0
chr16:67709900-67709919_GFOD2_-	GFOD2	1052.0
chr22:42463830-42463849_NAGA_-	NAGA	172.0
chr4:100003238-100003257_ADH5_+	ADH5	510.0
chr4:48852049-48852068_OCIAD1_-	OCIAD1	460.0
chr18:54339846-54339865_WDR7_+	WDR7	609.0
chr19:58264918-58264937_ZNF776_+	ZNF776	948.0
chr1:116932288-116932307_ATP1A1_+	ATP1A1	1044.0
chr19:14865772-14865791_EMR2_+	EMR2	649.0
chr7:37955697-37955716_SFRP4_-	SFRP4	714.0
chr5:1279481-1279500_TERT_+	TERT	1016.0
chr9:34521638-34521657_ENHO_-	ENHO	1038.0
chr12:114404001-114404020_RBM19_-	RBM19	1040.0
chr4:437647-437666_ZNF721_-	ZNF721	1161.0
chr16:84793792-84793811_USP10_+	USP10	535.0
chr1:180897681-180897700_KIAA1614_+	KIAA1614	1610.0
chr2:25387614-25387633_POMC_-	POMC	500.0
chrX:77392457-77392476_TAF9B_+	TAF9B	471.0
chr9:136804294-136804313_VAV2_+	VAV2	832.0
chrX:55247055-55247074_PAGE5_+	PAGE5	922.0
chr9:102722293-102722312_STX17_+	STX17	329.0
chr15:101013150-101013169_CERS3_+	CERS3	583.0
chr11:64875059-64875078_VPS51_-	VPS51	484.0
chr3:169693410-169693429_SEC62_+	SEC62	400.0
chr4:76896929-76896948_SDAD1_+	SDAD1	953.0
chr6:24781752-24781771_GMNN_+	GMNN	960.0
chr4:166254566-166254585_MSMO1_-	MSMO1	604.0
chr4:76804342-76804361_PPEF2_-	PPEF2	389.0
chr13:36939874-36939893_SPG20OS_+	SPG20OS	556.0
chr1:152005228-152005247_S100A11_+	S100A11	1540.0
chr18:14763935-14763954_ANKRD30B_+	ANKRD30B	469.0
chr4:113508816-113508835_C4orf21_-	C4orf21	469.0
chrX:132161499-132161518_USP26_+	USP26	554.0
chr2:84774610-84774629_DNAH6_+	DNAH6	501.0
chr7:105621424-105621443_CDHR3_-	CDHR3	850.0
chr20:5843776-5843795_C20orf196_-	C20orf196	523.0
chr19:54803510-54803529_LILRA3_-	LILRA3	1174.0
chr1:151958682-151958701_S100A10_-	S100A10	455.0
chr3:52685767-52685786_PBRM1_-	PBRM1	1182.0
chr12:105464341-105464360_ALDH1L2_+	ALDH1L2	551.0
chrX:44733173-44733192_KDM6A_-	KDM6A	428.0
chr19:57029907-57029926_ZNF471_-	ZNF471	629.0
chr14:74564515-74564534_LIN52_-	LIN52	1334.0
chr13:19997221-19997240_TPTE2_+	TPTE2	377.0
chr1:183616886-183616905_APOBEC4_+	APOBEC4	854.0
chr4:55133538-55133557_PDGFRA_-	PDGFRA	1680.0
chr22:31685674-31685693_PIK3IP1_-	PIK3IP1	1182.0
chr19:55658064-55658083_TNNT1_-	TNNT1	911.0
chr6:134328048-134328067_SLC2A12_+	SLC2A12	637.0
chr3:179069788-179069807_MFN1_+	MFN1	866.0
chr21:42811675-42811694_MX1_-	MX1	1012.0
chr1:54666052-54666071_MRPL37_-	MRPL37	496.0
chr9:94842337-94842356_SPTLC1_-	SPTLC1	326.0
chr11:43418251-43418270_TTC17_+	TTC17	589.0
chr6:41617347-41617366_MDFI_+	MDFI	808.0
chr4:153802130-153802149_ARFIP1_+	ARFIP1	933.0
chr12:104522234-104522253_NFYB_-	NFYB	904.0
chr5:68531228-68531247_CDK7_-	CDK7	815.0
chr4:26484819-26484838_CCKAR_-	CCKAR	443.0
chr18:43795912-43795931_C18orf25_+	C18orf25	796.0
chr4:100434254-100434273_C4orf17_-	C4orf17	1033.0
chrX:30577980-30577999_CXorf21_-	CXorf21	932.0
chr4:57797029-57797048_REST_-	REST	723.0
chrX:47028876-47028895_RBM10_+	RBM10	676.0
chr1:9777020-9777039_PIK3CD_+	PIK3CD	1012.0
chr7:35678005-35678024_HERPUD2_+	HERPUD2	544.0
chr11:64569920-64569939_MAP4K2_-	MAP4K2	1065.0
chr9:5022127-5022146_JAK2_-	JAK2	767.0
chr2:228890125-228890144_SPHKAP_+	SPHKAP	424.0
chr2:209104681-209104700_IDH1_+	IDH1	443.0
chr7:42967035-42967054_PSMA2_+	PSMA2	284.0
chrX:55020376-55020395_PFKFB1_-	PFKFB1	534.0
chr6:168191653-168191672_C6orf123_+	C6orf123	772.0
chr17:29326042-29326061_RNF135_+	RNF135	796.0
chr22:42206242-42206261_CCDC134_-	CCDC134	733.0
chr4:100349758-100349777_ADH7_+	ADH7	667.0
LacZ:454-473_LacZ_+	LacZ	865.0
chr13:113769991-113770010_F7_+	F7	370.0
chr4:54256783-54256802_FIP1L1_-	FIP1L1	238.0
chr10:65357791-65357810_REEP3_-	REEP3	641.0
chr7:88847491-88847510_ZNF804B_-	ZNF804B	1332.0
chr7:151216572-151216591_RHEB_+	RHEB	1296.0
chr1:228284825-228284844_ARF1_+	ARF1	558.0
chr1:175130088-175130107_KIAA0040_-	KIAA0040	351.0
chr10:134151094-134151113_LRRC27_-	LRRC27	788.0
chr5:140966651-140966670_DIAPH1_+	DIAPH1	759.0
chr12:8288257-8288276_CLEC4A_+	CLEC4A	510.0
chr6:42993005-42993024_RRP36_-	RRP36	641.0
chr5:56219618-56219637_MIER3_-	MIER3	985.0
chr5:34925565-34925584_BRIX1_+	BRIX1	921.0
chr5:68728426-68728445_MARVELD2_+	MARVELD2	965.0
chr11:27680032-27680051_BDNF_-	BDNF	731.0
chr8:16974080-16974099_MICU3_+	MICU3	733.0
chrX:69282801-69282820_OTUD6A_+	OTUD6A	827.0
chr15:34295270-34295289_AVEN_-	AVEN	1392.0
chr9:43627246-43627265_SPATA31A6_+	SPATA31A6	246.0
chr16:69375488-69375507_NIP7_-	NIP7	397.0
chr1:115272972-115272991_CSDE1_+	CSDE1	916.0
chr8:104452447-104452466_DCAF13_+	DCAF13	662.0
chr1:183944318-183944337_COLGALT2_-	COLGALT2	911.0
chr11:56000602-56000621_OR5T2_+	OR5T2	815.0
chr2:179323250-179323269_DFNB59_+	DFNB59	792.0
chr10:18789841-18789860_CACNB2_+	CACNB2	695.0
chr10:95430594-95430613_FRA10AC1_-	FRA10AC1	433.0
chr14:35488215-35488234_SRP54_+	SRP54	586.0
chr15:67459170-67459189_SMAD3_+	SMAD3	1123.0
chr10:81053171-81053190_ZMIZ1_+	ZMIZ1	809.0
chr11:6007843-6007862_OR52L1_+	OR52L1	600.0
chr1:32687528-32687547_TMEM234_+	TMEM234	640.0
chr5:82841373-82841392_VCAN_+	VCAN	435.0
chr6:4995480-4995499_RPP40_-	RPP40	1594.0
chr20:49348324-49348343_PARD6B_+	PARD6B	1651.0
chr17:41835925-41835944_SOST_-	SOST	549.0
chr10:75885937-75885956_AP3M1_-	AP3M1	1330.0
chr9:35811792-35811811_SPAG8_+	SPAG8	751.0
chr1:60325979-60325998_HOOK1_+	HOOK1	716.0
chr1:62908948-62908967_USP1_+	USP1	1108.0
chr14:20404271-20404290_OR4K1_-	OR4K1	1301.0
chr17:64876703-64876722_CACNG5_-	CACNG5	553.0
chr11:65423328-65423347_RELA_-	RELA	635.0
chr11:61179291-61179310_CPSF7_+	CPSF7	499.0
chr14:70925366-70925385_ADAM21_+	ADAM21	324.0
chr22:50854528-50854547_PPP6R2_+	PPP6R2	608.0
chr3:150263510-150263529_SERP1_+	SERP1	936.0
chrX:15529600-15529619_BMX_+	BMX	6.0
chr14:24026373-24026392_THTPA_+	THTPA	956.0
chr3:50683626-50683645_MAPKAPK3_+	MAPKAPK3	707.0
chr19:1807198-1807217_ATP8B3_+	ATP8B3	1237.0
chr7:77166912-77166931_PTPN12_+	PTPN12	719.0
chr22:23438039-23438058_GNAZ_+	GNAZ	727.0
chr5:172341779-172341798_ERGIC1_+	ERGIC1	1072.0
chr2:102788342-102788361_IL1R1_+	IL1R1	961.0
chr11:6190577-6190596_OR52B2_+	OR52B2	681.0
chrX:41519701-41519720_CASK_-	CASK	477.0
chr22:50277455-50277474_ZBED4_+	ZBED4	917.0
chr11:67274946-67274965_CDK2AP2_-	CDK2AP2	933.0
chr20:17716350-17716369_BANF2_+	BANF2	427.0
chr11:114393759-114393778_NXPE1_-	NXPE1	1709.0
chr4:153691383-153691402_TIGD4_-	TIGD4	585.0
chr17:28548752-28548771_SLC6A4_+	SLC6A4	704.0
chr12:26275591-26275610_BHLHE41_-	BHLHE41	876.0
chr4:144106854-144106873_USP38_-	USP38	1603.0
chr4:120240217-120240236_FABP2_-	FABP2	438.0
chr2:201997816-201997835_CFLAR_+	CFLAR	666.0
chr7:151135301-151135320_CRYGN_-	CRYGN	629.0
chr6:106756241-106756260_ATG5_-	ATG5	475.0
chr15:55724733-55724752_DYX1C1_-	DYX1C1	617.0
chr9:34343385-34343404_NUDT2_+	NUDT2	696.0
chr12:72300841-72300860_TBC1D15_+	TBC1D15	778.0
chr7:30791767-30791786_INMT_+	INMT	754.0
chr11:3659998-3660017_ART5_+	ART5	735.0
chr12:133102320-133102339_FBRSL1_+	FBRSL1	1371.0
chr5:95759119-95759138_PCSK1_+	PCSK1	670.0
chr1:156948130-156948149_ARHGEF11_+	ARHGEF11	771.0
chr20:30232639-30232658_COX4I2_+	COX4I2	1029.0
chr2:95773985-95774004_MRPS5_-	MRPS5	394.0
chr5:167798505-167798524_WWC1_-	WWC1	491.0
chr8:124373849-124373868_ATAD2_+	ATAD2	1125.0
chr10:90521239-90521258_LIPN_+	LIPN	829.0
chr13:96212466-96212485_CLDN10_+	CLDN10	849.0
chr12:88553984-88554003_TMTC3_+	TMTC3	647.0
chr4:8284187-8284206_HTRA3_-	HTRA3	503.0
chr5:110439566-110439585_WDR36_+	WDR36	411.0
chr15:78385074-78385093_SH2D7_-	SH2D7	314.0
chrX:135574201-135574220_BRS3_-	BRS3	687.0
chr14:81972491-81972510_SEL1L_-	SEL1L	617.0
chr18:28908221-28908240_DSG1_-	DSG1	539.0
chr14:60925448-60925467_C14orf39_-	C14orf39	834.0
chrX:123019694-123019713_XIAP_-	XIAP	562.0
chr19:57029925-57029944_ZNF471_+	ZNF471	396.0
chr20:23350749-23350768_GZF1_-	GZF1	368.0
chr4:168155154-168155173_SPOCK3_-	SPOCK3	1120.0
chr2:96657433-96657452_ANKRD36C_-	ANKRD36C	887.0
chr5:153674440-153674459_GALNT10_+	GALNT10	524.0
chr10:93904801-93904820_CPEB3_+	CPEB3	1179.0
chr1:70452017-70452036_LRRC7_-	LRRC7	514.0
chr3:100148725-100148744_LNP1_-	LNP1	773.0
chr3:56330131-56330150_ERC2_-	ERC2	289.0
chr17:4210354-4210373_UBE2G1_-	UBE2G1	913.0
chr6:31839259-31839278_SLC44A4_-	SLC44A4	842.0
chr6:31922132-31922151_NELFE_-	NELFE	1260.0
chr6:131540940-131540959_AKAP7_-	AKAP7	376.0
chr13:25077766-25077785_PARP4_+	PARP4	665.0
chr17:51064609-51064628_C17orf112_+	C17orf112	910.0
chr17:26982443-26982462_SDF2_-	SDF2	1231.0
chr11:63764099-63764118_OTUB1_+	OTUB1	577.0
chr8:62289185-62289204_CLVS1_-	CLVS1	819.0
chr1:157736716-157736735_FCRL2_-	FCRL2	930.0
chr11:34673345-34673364_EHF_-	EHF	477.0
chr18:12262910-12262929_CIDEA_+	CIDEA	1225.0
chr17:39465273-39465292_KRTAP16-1_+	KRTAP16-1	632.0
chr1:92185577-92185596_TGFBR3_+	TGFBR3	454.0
chr8:39442846-39442865_ADAM18_+	ADAM18	1113.0
chr5:1235677-1235696_SLC6A18_+	SLC6A18	1535.0
chr12:100957189-100957208_NR1H4_-	NR1H4	831.0
chr19:35451165-35451184_ZNF792_-	ZNF792	971.0
chr7:72718807-72718826_NSUN5_+	NSUN5	681.0
chr9:107379965-107379984_OR13C9_+	OR13C9	293.0
chr3:190159238-190159257_TMEM207_-	TMEM207	780.0
chr1:89732052-89732071_GBP5_-	GBP5	1515.0
chr9:35093500-35093519_PIGO_-	PIGO	1359.0
chrX:83374907-83374926_RPS6KA6_+	RPS6KA6	563.0
chr7:1498868-1498887_MICALL2_-	MICALL2	1313.0
chr4:156135858-156135877_NPY2R_+	NPY2R	355.0
chr6:123892139-123892158_TRDN_+	TRDN	844.0
chr12:110905983-110906002_GPN3_+	GPN3	648.0
chrX:47058736-47058755_UBA1_+	UBA1	678.0
chr10:61005254-61005273_PHYHIPL_-	PHYHIPL	1027.0
chr19:51412583-51412602_KLK4_+	KLK4	2429.0
chr7:139313759-139313778_HIPK2_-	HIPK2	1255.0
chr1:6653602-6653621_KLHL21_-	KLHL21	901.0
chr1:117156416-117156435_IGSF3_-	IGSF3	1018.0
chrX:154033629-154033648_MPP1_-	MPP1	684.0
chr10:97442933-97442952_TCTN3_-	TCTN3	1514.0
chr16:66878391-66878410_CA7_+	CA7	1177.0
chr12:54736061-54736080_COPZ1_-	COPZ1	502.0
chr11:100863040-100863059_TMEM133_+	TMEM133	740.0
chr7:100253067-100253086_ACTL6B_+	ACTL6B	2203.0
chr5:146030141-146030160_PPP2R2B_-	PPP2R2B	660.0
chr7:32909149-32909168_KBTBD2_-	KBTBD2	1488.0
chr6:39839317-39839336_DAAM2_+	DAAM2	425.0
chr7:37960802-37960821_EPDR1_-	EPDR1	1158.0
chr6:55039486-55039505_HCRTR2_+	HCRTR2	562.0
chr1:65344776-65344795_JAK1_-	JAK1	885.0
chr17:19646607-19646626_ALDH3A1_+	ALDH3A1	1702.0
chr4:69327582-69327601_TMPRSS11E_-	TMPRSS11E	1541.0
chr20:44238792-44238811_WFDC9_+	WFDC9	1542.0
chr1:47767967-47767986_STIL_+	STIL	581.0
chr17:4607439-4607458_PELP1_+	PELP1	1030.0
chr7:73753191-73753210_CLIP2_-	CLIP2	911.0
chr17:37099886-37099905_FBXO47_-	FBXO47	1035.0
chr17:18167756-18167775_MIEF2_+	MIEF2	1211.0
chr16:72042650-72042669_DHODH_+	DHODH	778.0
chrX:2712600-2712619_XG_+	XG	1707.0
chr9:129455493-129455512_LMX1B_+	LMX1B	1009.0
chr12:10339128-10339147_TMEM52B_-	TMEM52B	977.0
chr11:49974356-49974375_OR4C13_-	OR4C13	1026.0
chr6:7182145-7182164_RREB1_+	RREB1	1343.0
chr10:72164252-72164271_EIF4EBP2_+	EIF4EBP2	654.0
chr16:20386208-20386227_PDILT_+	PDILT	466.0
chr7:21603924-21603943_DNAH11_-	DNAH11	917.0
chr10:52595871-52595890_A1CF_+	A1CF	294.0
chr10:45495830-45495849_C10orf25_+	C10orf25	750.0
chr2:228497713-228497732_C2orf83_-	C2orf83	506.0
chr3:17131351-17131370_PLCL2_-	PLCL2	755.0
chr9:34343143-34343162_NUDT2_+	NUDT2	1315.0
chr1:110116655-110116674_GNAI3_-	GNAI3	883.0
chr16:15973703-15973722_FOPNL_+	FOPNL	513.0
chr19:15198264-15198283_OR1I1_-	OR1I1	535.0
chr5:64079712-64079731_CWC27_-	CWC27	717.0
chr1:247614866-247614885_OR2B11_+	OR2B11	612.0
chr19:33642136-33642155_WDR88_-	WDR88	1190.0
chr17:57326118-57326137_GDPD1_-	GDPD1	1389.0
chr17:10614217-10614236_ADPRM_-	ADPRM	1113.0
chr2:170782196-170782215_UBR3_-	UBR3	708.0
chr18:55983261-55983280_NEDD4L_-	NEDD4L	1109.0
chr1:28880241-28880260_TRNAU1AP_-	TRNAU1AP	949.0
chr1:182635108-182635127_RGS8_+	RGS8	883.0
chr1:114301296-114301315_PHTF1_-	PHTF1	717.0
chr4:39606721-39606740_SMIM14_+	SMIM14	315.0
chr19:42569856-42569875_GRIK5_+	GRIK5	775.0
chr11:36614375-36614394_RAG2_+	RAG2	479.0
chr18:39584426-39584445_PIK3C3_-	PIK3C3	781.0
chr11:74015380-74015399_P4HA3_+	P4HA3	383.0
chr7:94166856-94166875_CASD1_-	CASD1	598.0
chr8:66525560-66525579_ARMC1_-	ARMC1	549.0
chr15:25220550-25220569_SNRPN_+	SNRPN	777.0
chr17:66924137-66924156_ABCA8_+	ABCA8	732.0
chr10:126631649-126631668_ZRANB1_+	ZRANB1	177.0
chr17:15492427-15492446_CDRT1_+	CDRT1	776.0
chr9:34343320-34343339_NUDT2_+	NUDT2	693.0
chr19:50500783-50500802_VRK3_-	VRK3	794.0
chr1:120437946-120437965_ADAM30_+	ADAM30	1143.0
chr5:140711020-140711039_PCDHGA1_-	PCDHGA1	1113.0
chr2:17773409-17773428_VSNL1_+	VSNL1	625.0
chr1:12952785-12952804_PRAMEF10_+	PRAMEF10	906.0
chr1:184723761-184723780_EDEM3_-	EDEM3	1029.0
chr10:111860412-111860431_ADD3_+	ADD3	714.0
chr16:85834864-85834883_COX4I1_-	COX4I1	769.0
chr1:43032070-43032089_CCDC30_+	CCDC30	587.0
chr2:43019597-43019616_HAAO_+	HAAO	1008.0
chr8:56699569-56699588_TGS1_+	TGS1	80.0
chr2:60987409-60987428_PAPOLG_+	PAPOLG	643.0
chr11:56113611-56113630_OR8K1_-	OR8K1	996.0
chr4:76447020-76447039_THAP6_-	THAP6	607.0
chr14:92548669-92548688_ATXN3_-	ATXN3	733.0
chr1:32667646-32667665_CCDC28B_-	CCDC28B	1062.0
chr20:3842144-3842163_MAVS_-	MAVS	841.0
chr7:135421906-135421925_FAM180A_+	FAM180A	1185.0
chr1:1163883-1163902_SDF4_-	SDF4	528.0
chr22:42565871-42565890_TCF20_-	TCF20	341.0
chr11:119103384-119103403_CBL_+	CBL	358.0
chr11:58034951-58034970_OR10W1_+	OR10W1	590.0
chr1:204375379-204375398_PPP1R15B_-	PPP1R15B	870.0
chr16:67573969-67573988_FAM65A_+	FAM65A	714.0
chr1:209933440-209933459_TRAF3IP3_+	TRAF3IP3	623.0
chr13:106142315-106142334_DAOA_+	DAOA	622.0
chr1:117491997-117492016_PTGFRN_-	PTGFRN	929.0
chr2:88125229-88125248_RGPD2_-	RGPD2	908.0
chr10:102789793-102789812_PDZD7_+	PDZD7	1132.0
chr7:99787143-99787162_STAG3_+	STAG3	508.0
chr1:205238606-205238625_TMCC2_-	TMCC2	798.0
chr1:248814094-248814113_OR2T27_+	OR2T27	749.0
chr12:10271089-10271108_CLEC7A_+	CLEC7A	1310.0
chr9:2717801-2717820_KCNV2_+	KCNV2	1567.0
chr8:42977774-42977793_POMK_-	POMK	397.0
chr12:51323890-51323909_METTL7A_-	METTL7A	845.0
chr2:139326547-139326566_SPOPL_-	SPOPL	675.0
chr11:18722564-18722583_TMEM86A_-	TMEM86A	662.0
chr14:45693775-45693794_MIS18BP1_-	MIS18BP1	878.0
chr19:46543154-46543173_IGFL4_+	IGFL4	631.0
chr16:28603691-28603710_SULT1A2_+	SULT1A2	512.0
chr1:1431017-1431036_ATAD3B_-	ATAD3B	182.0
chr6:87994069-87994088_GJB7_+	GJB7	815.0
chr20:2448340-2448359_SNRPB_-	SNRPB	893.0
chr5:96314947-96314966_LNPEP_+	LNPEP	572.0
chr5:131879051-131879070_IL5_+	IL5	831.0
chr9:139929442-139929461_C9orf139_+	C9orf139	534.0
chr17:9408450-9408469_STX8_-	STX8	639.0
chr10:5567205-5567224_CALML3_+	CALML3	923.0
chr22:29684681-29684700_EWSR1_+	EWSR1	1022.0
chr1:27219882-27219901_GPATCH3_-	GPATCH3	617.0
chr3:85851281-85851300_CADM2_+	CADM2	1350.0
chr3:140409997-140410016_TRIM42_+	TRIM42	633.0
chr17:40010520-40010539_KLHL11_-	KLHL11	613.0
chr10:7627971-7627990_ITIH5_+	ITIH5	1022.0
chrX:131214282-131214301_FRMD7_-	FRMD7	1105.0
chr5:37245580-37245599_C5orf42_-	C5orf42	648.0
chr8:86377618-86377637_CA2_+	CA2	934.0
chr11:55761695-55761714_OR5F1_+	OR5F1	494.0
chr6:52993442-52993461_GCM1_+	GCM1	881.0
chr3:112538700-112538719_CD200R1L_+	CD200R1L	603.0
chr10:13653631-13653650_PRPF18_-	PRPF18	1515.0
chr20:2290419-2290438_TGM3_+	TGM3	348.0
chr3:186769037-186769056_ST6GAL1_+	ST6GAL1	920.0
chr14:103452850-103452869_CDC42BPB_+	CDC42BPB	1136.0
chr19:14554401-14554420_PKN1_+	PKN1	858.0
chr19:40964045-40964064_BLVRB_+	BLVRB	2145.0
chr16:67964667-67964686_CTRL_+	CTRL	923.0
chr9:133993211-133993230_AIF1L_+	AIF1L	1158.0
chr4:17805351-17805370_DCAF16_+	DCAF16	390.0
chr1:40726544-40726563_ZMPSTE24_-	ZMPSTE24	715.0
chr9:115171267-115171286_HSDL2_+	HSDL2	517.0
chr5:36226605-36226624_NADK2_-	NADK2	697.0
chr2:102992452-102992471_IL18R1_-	IL18R1	479.0
chr1:212870378-212870397_BATF3_-	BATF3	597.0
chr4:77033610-77033629_ART3_-	ART3	965.0
chr1:52117675-52117694_OSBPL9_+	OSBPL9	1083.0
chr2:46588102-46588121_EPAS1_-	EPAS1	920.0
chr2:170558056-170558075_PHOSPHO2_+	PHOSPHO2	941.0
chr14:21161836-21161855_ANG_+	ANG	1013.0
chr5:154254872-154254891_CNOT8_+	CNOT8	701.0
chr14:74444019-74444038_ENTPD5_+	ENTPD5	1596.0
chr16:15733007-15733026_KIAA0430_-	KIAA0430	966.0
chr11:59283052-59283071_OR4D9_+	OR4D9	1203.0
chr12:132589328-132589347_EP400NL_-	EP400NL	982.0
chr17:6553734-6553753_MED31_-	MED31	1003.0
chr17:18003003-18003022_DRG2_+	DRG2	735.0
chr1:155210474-155210493_GBA_+	GBA	395.0
chr19:44771078-44771097_ZNF233_+	ZNF233	579.0
chr4:178896984-178897003_RP11-389E17.1_+	RP11-389E17.1	241.0
chr22:33254013-33254032_TIMP3_+	TIMP3	745.0
chr14:20711368-20711387_OR11H4_-	OR11H4	586.0
chr17:58303562-58303581_USP32_+	USP32	474.0
chr5:159840526-159840545_SLU7_-	SLU7	908.0
chr18:13885005-13885024_MC2R_+	MC2R	733.0
chr4:175223209-175223228_CEP44_-	CEP44	1049.0
chr7:143771697-143771716_OR2A25_-	OR2A25	355.0
chr11:6942668-6942687_OR2D3_-	OR2D3	1188.0
chr12:54975888-54975907_PPP1R1A_-	PPP1R1A	802.0
chr12:56607805-56607824_RNF41_-	RNF41	705.0
chr10:72201251-72201270_NODAL_+	NODAL	751.0
chr19:44680032-44680051_ZNF226_-	ZNF226	876.0
chr11:6913325-6913344_OR2D2_+	OR2D2	373.0
chr2:45812864-45812883_SRBD1_+	SRBD1	783.0
chr7:92355085-92355104_CDK6_-	CDK6	638.0
chr2:224463536-224463555_SCG2_-	SCG2	864.0
chr11:105967483-105967502_AASDHPPT_+	AASDHPPT	561.0
chr11:61615638-61615657_FADS2_-	FADS2	1297.0
chr3:43389388-43389407_SNRK_+	SNRK	596.0
chr8:109462680-109462699_EMC2_+	EMC2	805.0
chr8:91057122-91057141_DECR1_+	DECR1	424.0
chr4:84367214-84367233_HELQ_-	HELQ	880.0
chr11:120925919-120925938_TBCEL_-	TBCEL	1076.0
chr1:28887189-28887208_TRNAU1AP_-	TRNAU1AP	1531.0
chr20:13605834-13605853_TASP1_-	TASP1	952.0
chr6:52355019-52355038_EFHC1_+	EFHC1	1049.0
chr7:135123027-135123046_CNOT4_+	CNOT4	1062.0
chr3:101010325-101010344_IMPG2_-	IMPG2	1185.0
chr20:4155703-4155722_SMOX_+	SMOX	471.0
chr9:103092215-103092234_TEX10_-	TEX10	391.0
chr12:464346-464365_KDM5A_-	KDM5A	645.0
chrX:100615627-100615646_BTK_-	BTK	666.0
chr16:58148801-58148820_C16orf80_-	C16orf80	496.0
chr1:65895631-65895650_LEPROT_+	LEPROT	1050.0
chr9:90255754-90255773_DAPK1_-	DAPK1	1150.0
chr5:175110284-175110303_HRH2_+	HRH2	792.0
chr11:36680679-36680698_C11orf74_+	C11orf74	1042.0
chr17:7138989-7139008_PHF23_-	PHF23	1431.0
chr9:75773681-75773700_ANXA1_-	ANXA1	1061.0
chr4:88303469-88303488_HSD17B11_-	HSD17B11	1256.0
chr16:21218202-21218221_ZP2_-	ZP2	1712.0
chr10:102239687-102239706_WNT8B_+	WNT8B	542.0
chr3:151474816-151474835_AADACL2_+	AADACL2	893.0
chr18:20573731-20573750_RBBP8_-	RBBP8	1129.0
chr5:63803634-63803653_RGS7BP_+	RGS7BP	857.0
chr19:9492412-9492431_ZNF177_+	ZNF177	548.0
chr11:55340043-55340062_OR4C16_-	OR4C16	1949.0
chr12:120995233-120995252_RNF10_-	RNF10	536.0
chr6:128561198-128561217_PTPRK_+	PTPRK	1839.0
chr17:33806353-33806372_SLFN12L_+	SLFN12L	816.0
chr17:33749226-33749245_SLFN12_+	SLFN12	442.0
chr3:169525237-169525256_LRRC34_+	LRRC34	639.0
chr22:17447046-17447065_GAB4_-	GAB4	1694.0
chr14:74762583-74762602_ABCD4_+	ABCD4	349.0
chr3:88040784-88040803_HTR1F_-	HTR1F	1628.0
chr17:39135243-39135262_KRT40_-	KRT40	1618.0
chr12:55025542-55025561_LACRT_-	LACRT	290.0
chr14:21238546-21238565_EDDM3B_+	EDDM3B	485.0
chr10:25304837-25304856_ENKUR_+	ENKUR	248.0
chr14:57876203-57876222_NAA30_+	NAA30	1092.0
chr1:92446732-92446751_BRDT_-	BRDT	700.0
chr19:12719997-12720016_ZNF490_-	ZNF490	323.0
chr16:89652167-89652186_CPNE7_+	CPNE7	619.0
chr14:21360219-21360238_RNASE3_+	RNASE3	930.0
chr12:49719529-49719548_TROAP_-	TROAP	1036.0
chrY:6736123-6736142_AMELY_+	AMELY	770.0
chr10:26802586-26802605_APBB1IP_-	APBB1IP	1061.0
chrX:129055318-129055337_UTP14A_+	UTP14A	1631.0
chr19:19447989-19448008_MAU2_+	MAU2	717.0
chrX:150791449-150791468_PASD1_-	PASD1	357.0
chr11:85456682-85456701_SYTL2_-	SYTL2	1137.0
chr5:41058255-41058274_MROH2B_+	MROH2B	579.0
chr8:74529510-74529529_STAU2_+	STAU2	1510.0
chr17:76198601-76198620_AFMID_-	AFMID	1232.0
