sgRNA_ID	Gene	HAP1_T18B
chr2:182852622-182852641_PPP1R1C_-	PPP1R1C	458.0
chr8:15480691-15480710_TUSC3_-	TUSC3	147.0
chr12:27465584-27465603_STK38L_+	STK38L	744.0
chr20:43994280-43994299_SYS1_-	SYS1	171.0
chr11:55135588-55135607_OR4A15_+	OR4A15	374.0
chr5:139493764-139493783_PURA_+	PURA	404.0
chr5:80600633-80600652_ZCCHC9_+	ZCCHC9	116.0
chr19:21117832-21117851_ZNF85_+	ZNF85	340.0
chr6:30615006-30615025_C6orf136_+	C6orf136	1174.0
chr4:186336939-186336958_UFSP2_-	UFSP2	265.0
chr16:56388927-56388946_GNAO1_+	GNAO1	329.0
chr17:6980194-6980213_CLEC10A_+	CLEC10A	655.0
chr18:346437-346456_COLEC12_+	COLEC12	897.0
chr2:61275787-61275806_PEX13_-	PEX13	395.0
chr18:657851-657870_TYMS_+	TYMS	0.0
chr2:20234061-20234080_LAPTM4A_+	LAPTM4A	511.0
chr2:96852966-96852985_STARD7_+	STARD7	104.0
chr15:74317208-74317227_PML_+	PML	483.0
chr2:39109582-39109601_MORN2_+	MORN2	140.0
chr11:4968027-4968046_OR51A4_-	OR51A4	717.0
chrX:119005950-119005969_NDUFA1_+	NDUFA1	140.0
chr15:62302654-62302673_VPS13C_+	VPS13C	331.0
chr1:161165319-161165338_ADAMTS4_+	ADAMTS4	211.0
chr1:111740578-111740597_DENND2D_+	DENND2D	495.0
chr1:109392161-109392180_AKNAD1_-	AKNAD1	163.0
chr14:75199422-75199441_FCF1_+	FCF1	8.0
chr3:11885543-11885562_TAMM41_-	TAMM41	100.0
chr19:16006384-16006403_CYP4F2_+	CYP4F2	403.0
chr10:99619269-99619288_GOLGA7B_+	GOLGA7B	314.0
chr9:77567424-77567443_C9orf40_+	C9orf40	417.0
chr1:153614824-153614843_CHTOP_+	CHTOP	126.0
chr14:105865786-105865805_TEX22_+	TEX22	522.0
chr8:145642054-145642073_SLC39A4_+	SLC39A4	520.0
chr9:79841425-79841444_VPS13A_+	VPS13A	258.0
chr8:11708476-11708495_CTSB_-	CTSB	723.0
chr5:74754917-74754936_COL4A3BP_-	COL4A3BP	161.0
chr5:95011229-95011248_SPATA9_-	SPATA9	386.0
chr16:1756350-1756369_MAPK8IP3_+	MAPK8IP3	405.0
chr7:103807235-103807254_ORC5_-	ORC5	129.0
chrX:119674352-119674371_CUL4B_+	CUL4B	538.0
chr21:47574190-47574209_FTCD_+	FTCD	864.0
chr6:47759608-47759627_OPN5_-	OPN5	375.0
chr2:88913244-88913263_EIF2AK3_-	EIF2AK3	319.0
chr2:225422491-225422510_CUL3_-	CUL3	81.0
chr17:75369593-75369612_SEPT9_-	SEPT9	415.0
chr8:23540293-23540312_NKX3-1_-	NKX3-1	498.0
chr18:20932173-20932192_TMEM241_+	TMEM241	629.0
chr20:2465163-2465182_ZNF343_-	ZNF343	417.0
chr16:68894042-68894061_TANGO6_+	TANGO6	248.0
chr7:87466095-87466114_SLC25A40_+	SLC25A40	278.0
chr19:45868156-45868175_ERCC2_+	ERCC2	563.0
chr4:164272400-164272419_NPY5R_+	NPY5R	527.0
chr10:124907958-124907977_HMX2_+	HMX2	401.0
chr21:32007705-32007724_KRTAP20-2_-	KRTAP20-2	561.0
chr5:149279059-149279078_PDE6A_+	PDE6A	417.0
chr16:67261123-67261142_TMEM208_-	TMEM208	644.0
chr2:162036220-162036239_TANK_-	TANK	688.0
chr19:51768736-51768755_SIGLECL1_-	SIGLECL1	742.0
chr5:74865217-74865236_POLK_-	POLK	316.0
chr7:102760545-102760564_NAPEPLD_+	NAPEPLD	516.0
chr5:178140522-178140541_ZNF354A_+	ZNF354A	549.0
chr13:45010740-45010759_TSC22D1_-	TSC22D1	512.0
chr13:46802847-46802866_LRRC63_+	LRRC63	438.0
chr9:86586993-86587012_HNRNPK_+	HNRNPK	114.0
chr14:100613173-100613192_DEGS2_+	DEGS2	266.0
chr1:153654189-153654208_NPR1_+	NPR1	509.0
chr9:124064234-124064253_GSN_+	GSN	329.0
chr15:99670314-99670333_SYNM_+	SYNM	521.0
chr1:101343278-101343297_EXTL2_-	EXTL2	342.0
chr4:96469957-96469976_UNC5C_+	UNC5C	996.0
chr1:232629293-232629312_SIPA1L2_-	SIPA1L2	307.0
chr12:131451046-131451065_GPR133_-	GPR133	368.0
chr20:43723576-43723595_KCNS1_-	KCNS1	237.0
chr5:43277220-43277239_NIM1_+	NIM1	609.0
chr7:116199129-116199148_CAV1_+	CAV1	895.0
chr19:55653247-55653266_TNNT1_-	TNNT1	475.0
chr10:102289539-102289558_NDUFB8_-	NDUFB8	872.0
chr20:43739051-43739070_WFDC5_+	WFDC5	575.0
chr1:53980300-53980319_GLIS1_+	GLIS1	405.0
chr13:28368048-28368067_GSX1_-	GSX1	793.0
chr10:15138642-15138661_C10orf111_-	C10orf111	547.0
chr19:36642417-36642436_COX7A1_-	COX7A1	167.0
chr5:172410945-172410964_ATP6V0E1_+	ATP6V0E1	209.0
chr2:232995408-232995427_DIS3L2_+	DIS3L2	371.0
chr19:15079293-15079312_SLC1A6_-	SLC1A6	284.0
chr15:41388482-41388501_INO80_+	INO80	329.0
chr2:220193948-220193967_RESP18_+	RESP18	0.0
chr18:43310969-43310988_SLC14A1_+	SLC14A1	445.0
chrX:92927278-92927297_NAP1L3_+	NAP1L3	106.0
chr6:27841167-27841186_HIST1H4L_-	HIST1H4L	484.0
chr15:45814454-45814473_SLC30A4_+	SLC30A4	339.0
chr6:31927108-31927127_SKIV2L_-	SKIV2L	646.0
EGFP:498-517_EGFP_+	EGFP	414.0
chr11:65029772-65029791_POLA2_+	POLA2	47.0
chr19:49925869-49925888_PTH2_+	PTH2	416.0
chr3:149686189-149686208_PFN2_-	PFN2	135.0
chr3:88189067-88189086_ZNF654_-	ZNF654	163.0
chr7:47454770-47454789_TNS3_+	TNS3	543.0
chr14:24522923-24522942_LRRC16B_+	LRRC16B	522.0
chr6:90347047-90347066_LYRM2_-	LYRM2	182.0
chr16:683297-683316_WFIKKN1_-	WFIKKN1	253.0
chr4:141294822-141294841_SCOC_-	SCOC	501.0
chr19:2328397-2328416_LSM7_-	LSM7	5.0
chr7:104702617-104702636_KMT2E_+	KMT2E	1073.0
chr19:39924331-39924350_RPS16_-	RPS16	49.0
chr2:55071291-55071310_EML6_+	EML6	739.0
chr3:119198971-119198990_POGLUT1_+	POGLUT1	256.0
chrX:69637842-69637861_KIF4A_-	KIF4A	515.0
chr17:56357308-56357327_MPO_-	MPO	535.0
chr10:96234513-96234532_TBC1D12_-	TBC1D12	510.0
chr11:68822697-68822716_TPCN2_+	TPCN2	225.0
chr12:28459760-28459779_CCDC91_-	CCDC91	394.0
chr2:20403619-20403638_SDC1_+	SDC1	677.0
chr21:31933557-31933576_KRTAP19-7_+	KRTAP19-7	470.0
chr12:55886621-55886640_OR6C68_+	OR6C68	2757.0
chr11:67953333-67953352_SUV420H1_-	SUV420H1	559.0
chr17:34324836-34324855_CCL15_+	CCL15	652.0
chrY:6938366-6938385_TBL1Y_-	TBL1Y	412.0
chr5:139947489-139947508_SLC35A4_-	SLC35A4	226.0
chrX:48772368-48772387_PIM2_-	PIM2	641.0
chr16:2093675-2093694_NTHL1_-	NTHL1	456.0
chr4:25125721-25125740_SEPSECS_+	SEPSECS	288.0
chr15:34437619-34437638_KATNBL1_+	KATNBL1	115.0
chr4:46994880-46994899_GABRA4_-	GABRA4	496.0
chr2:69601179-69601198_GFPT1_-	GFPT1	403.0
chr20:60733761-60733780_SS18L1_+	SS18L1	262.0
chr1:156593802-156593821_HAPLN2_-	HAPLN2	698.0
chr10:104156573-104156592_NFKB2_-	NFKB2	215.0
chr7:43916801-43916820_URGCP_-	URGCP	216.0
chr7:38725463-38725482_FAM183B_+	FAM183B	552.0
chr17:21203847-21203866_MAP2K3_+	MAP2K3	141.0
chr14:69392313-69392332_ACTN1_-	ACTN1	303.0
chr7:1608933-1608952_PSMG3_-	PSMG3	26.0
chr19:11833854-11833873_ZNF823_+	ZNF823	255.0
chr10:1068651-1068670_IDI2_-	IDI2	353.0
chr19:19822448-19822467_ZNF14_+	ZNF14	848.0
chr11:19164551-19164570_ZDHHC13_-	ZDHHC13	399.0
chr17:56084347-56084366_SRSF1_-	SRSF1	370.0
chr19:2097933-2097952_IZUMO4_+	IZUMO4	880.0
chr12:52369267-52369286_ACVR1B_+	ACVR1B	512.0
chr10:112838313-112838332_ADRA2A_+	ADRA2A	363.0
chr5:171789738-171789757_SH3PXD2B_-	SH3PXD2B	441.0
chr8:42711317-42711336_RNF170_-	RNF170	386.0
chr11:57228328-57228347_RTN4RL2_+	RTN4RL2	472.0
chr1:163044230-163044249_RGS4_-	RGS4	406.0
chr5:140730090-140730109_PCDHGB1_+	PCDHGB1	825.0
chrX:13337591-13337610_ATXN3L_+	ATXN3L	582.0
chr19:45900291-45900310_PPP1R13L_+	PPP1R13L	435.0
chr1:236881215-236881234_ACTN2_+	ACTN2	384.0
chr10:94449843-94449862_HHEX_+	HHEX	348.0
chr5:140481188-140481207_PCDHB3_+	PCDHB3	487.0
chr19:2767566-2767585_SGTA_+	SGTA	557.0
chr22:41736004-41736023_ZC3H7B_-	ZC3H7B	814.0
chr6:49808639-49808658_CRISP1_+	CRISP1	644.0
chr19:36486324-36486343_SDHAF1_+	SDHAF1	16.0
chr19:50865540-50865559_NAPSA_-	NAPSA	388.0
chr19:39308120-39308139_ECH1_+	ECH1	171.0
chr10:121557120-121557139_INPP5F_+	INPP5F	331.0
chr11:2950295-2950314_PHLDA2_+	PHLDA2	226.0
chr7:37780015-37780034_GPR141_-	GPR141	287.0
chr20:18474595-18474614_RBBP9_+	RBBP9	480.0
chr5:89918423-89918442_GPR98_+	GPR98	1064.0
chr11:114270950-114270969_C11orf71_+	C11orf71	823.0
chr14:60752398-60752417_PPM1A_+	PPM1A	393.0
chr1:234744707-234744726_IRF2BP2_-	IRF2BP2	612.0
chr16:57473138-57473157_CIAPIN1_-	CIAPIN1	104.0
chr13:111927940-111927959_ARHGEF7_-	ARHGEF7	931.0
chr19:41510227-41510246_CYP2B6_-	CYP2B6	66.0
chr16:58768077-58768096_GOT2_-	GOT2	540.0
chr16:12136828-12136847_SNX29_+	SNX29	266.0
chr5:140166147-140166166_PCDHA1_+	PCDHA1	587.0
chr17:40832217-40832236_CCR10_-	CCR10	477.0
chr15:65425588-65425607_PDCD7_+	PDCD7	169.0
chr18:55253790-55253809_FECH_+	FECH	549.0
chr21:38139527-38139546_HLCS_-	HLCS	322.0
chr6:90312799-90312818_ANKRD6_+	ANKRD6	584.0
chr14:34931408-34931427_SPTSSA_-	SPTSSA	851.0
chr6:13305394-13305413_TBC1D7_+	TBC1D7	2386.0
chr1:46751640-46751659_LRRC41_+	LRRC41	246.0
chr1:155657864-155657883_YY1AP1_-	YY1AP1	373.0
chr5:77590284-77590303_AP3B1_+	AP3B1	418.0
chrX:15376193-15376212_FIGF_+	FIGF	153.0
chr22:40521845-40521864_TNRC6B_+	TNRC6B	405.0
chr15:64980912-64980931_OAZ2_+	OAZ2	214.0
chr12:4919213-4919232_KCNA6_+	KCNA6	214.0
chr17:40715086-40715105_COASY_-	COASY	40.0
chr15:85234818-85234837_SEC11A_-	SEC11A	294.0
chr2:235404722-235404741_ARL4C_-	ARL4C	652.0
chr2:220145302-220145321_DNAJB2_+	DNAJB2	549.0
chr10:99093843-99093862_FRAT2_+	FRAT2	400.0
chr18:50683775-50683794_DCC_-	DCC	414.0
chr1:9164671-9164690_GPR157_-	GPR157	672.0
chr4:73185080-73185099_ADAMTS3_+	ADAMTS3	371.0
chr16:50583386-50583405_NKD1_+	NKD1	389.0
chr5:40730424-40730443_TTC33_-	TTC33	357.0
chr9:128677986-128678005_PBX3_-	PBX3	541.0
chr22:38455296-38455315_PICK1_+	PICK1	323.0
chr5:65440199-65440218_SREK1_+	SREK1	343.0
chr6:46655924-46655943_TDRD6_-	TDRD6	393.0
chr15:40247942-40247961_EIF2AK4_+	EIF2AK4	274.0
chr19:42753407-42753426_ERF_+	ERF	433.0
chr16:449020-449039_NME4_-	NME4	615.0
chr14:95679602-95679621_CLMN_-	CLMN	424.0
chr3:48726128-48726147_IP6K2_-	IP6K2	528.0
chr16:67709900-67709919_GFOD2_-	GFOD2	456.0
chr22:42463830-42463849_NAGA_-	NAGA	39.0
chr4:100003238-100003257_ADH5_+	ADH5	227.0
chr4:48852049-48852068_OCIAD1_-	OCIAD1	161.0
chr18:54339846-54339865_WDR7_+	WDR7	46.0
chr19:58264918-58264937_ZNF776_+	ZNF776	477.0
chr1:116932288-116932307_ATP1A1_+	ATP1A1	345.0
chr19:14865772-14865791_EMR2_+	EMR2	316.0
chr7:37955697-37955716_SFRP4_-	SFRP4	522.0
chr5:1279481-1279500_TERT_+	TERT	626.0
chr9:34521638-34521657_ENHO_-	ENHO	699.0
chr12:114404001-114404020_RBM19_-	RBM19	90.0
chr4:437647-437666_ZNF721_-	ZNF721	661.0
chr16:84793792-84793811_USP10_+	USP10	4.0
chr1:180897681-180897700_KIAA1614_+	KIAA1614	504.0
chr2:25387614-25387633_POMC_-	POMC	190.0
chrX:77392457-77392476_TAF9B_+	TAF9B	787.0
chr9:136804294-136804313_VAV2_+	VAV2	549.0
chrX:55247055-55247074_PAGE5_+	PAGE5	395.0
chr9:102722293-102722312_STX17_+	STX17	120.0
chr15:101013150-101013169_CERS3_+	CERS3	217.0
chr11:64875059-64875078_VPS51_-	VPS51	244.0
chr3:169693410-169693429_SEC62_+	SEC62	193.0
chr4:76896929-76896948_SDAD1_+	SDAD1	85.0
chr6:24781752-24781771_GMNN_+	GMNN	139.0
chr4:166254566-166254585_MSMO1_-	MSMO1	676.0
chr4:76804342-76804361_PPEF2_-	PPEF2	355.0
chr13:36939874-36939893_SPG20OS_+	SPG20OS	95.0
chr1:152005228-152005247_S100A11_+	S100A11	833.0
chr18:14763935-14763954_ANKRD30B_+	ANKRD30B	346.0
chr4:113508816-113508835_C4orf21_-	C4orf21	261.0
chrX:132161499-132161518_USP26_+	USP26	303.0
chr2:84774610-84774629_DNAH6_+	DNAH6	286.0
chr7:105621424-105621443_CDHR3_-	CDHR3	651.0
chr20:5843776-5843795_C20orf196_-	C20orf196	298.0
chr19:54803510-54803529_LILRA3_-	LILRA3	985.0
chr1:151958682-151958701_S100A10_-	S100A10	186.0
chr3:52685767-52685786_PBRM1_-	PBRM1	347.0
chr12:105464341-105464360_ALDH1L2_+	ALDH1L2	186.0
chrX:44733173-44733192_KDM6A_-	KDM6A	106.0
chr19:57029907-57029926_ZNF471_-	ZNF471	157.0
chr14:74564515-74564534_LIN52_-	LIN52	141.0
chr13:19997221-19997240_TPTE2_+	TPTE2	232.0
chr1:183616886-183616905_APOBEC4_+	APOBEC4	211.0
chr4:55133538-55133557_PDGFRA_-	PDGFRA	244.0
chr22:31685674-31685693_PIK3IP1_-	PIK3IP1	856.0
chr19:55658064-55658083_TNNT1_-	TNNT1	599.0
chr6:134328048-134328067_SLC2A12_+	SLC2A12	636.0
chr3:179069788-179069807_MFN1_+	MFN1	797.0
chr21:42811675-42811694_MX1_-	MX1	478.0
chr1:54666052-54666071_MRPL37_-	MRPL37	157.0
chr9:94842337-94842356_SPTLC1_-	SPTLC1	205.0
chr11:43418251-43418270_TTC17_+	TTC17	368.0
chr6:41617347-41617366_MDFI_+	MDFI	390.0
chr4:153802130-153802149_ARFIP1_+	ARFIP1	273.0
chr12:104522234-104522253_NFYB_-	NFYB	357.0
chr5:68531228-68531247_CDK7_-	CDK7	5.0
chr4:26484819-26484838_CCKAR_-	CCKAR	368.0
chr18:43795912-43795931_C18orf25_+	C18orf25	264.0
chr4:100434254-100434273_C4orf17_-	C4orf17	211.0
chrX:30577980-30577999_CXorf21_-	CXorf21	981.0
chr4:57797029-57797048_REST_-	REST	230.0
chrX:47028876-47028895_RBM10_+	RBM10	138.0
chr1:9777020-9777039_PIK3CD_+	PIK3CD	403.0
chr7:35678005-35678024_HERPUD2_+	HERPUD2	214.0
chr11:64569920-64569939_MAP4K2_-	MAP4K2	430.0
chr9:5022127-5022146_JAK2_-	JAK2	341.0
chr2:228890125-228890144_SPHKAP_+	SPHKAP	213.0
chr2:209104681-209104700_IDH1_+	IDH1	231.0
chr7:42967035-42967054_PSMA2_+	PSMA2	65.0
chrX:55020376-55020395_PFKFB1_-	PFKFB1	392.0
chr6:168191653-168191672_C6orf123_+	C6orf123	403.0
chr17:29326042-29326061_RNF135_+	RNF135	160.0
chr22:42206242-42206261_CCDC134_-	CCDC134	319.0
chr4:100349758-100349777_ADH7_+	ADH7	435.0
LacZ:454-473_LacZ_+	LacZ	479.0
chr13:113769991-113770010_F7_+	F7	155.0
chr4:54256783-54256802_FIP1L1_-	FIP1L1	51.0
chr10:65357791-65357810_REEP3_-	REEP3	327.0
chr7:88847491-88847510_ZNF804B_-	ZNF804B	559.0
chr7:151216572-151216591_RHEB_+	RHEB	351.0
chr1:228284825-228284844_ARF1_+	ARF1	271.0
chr1:175130088-175130107_KIAA0040_-	KIAA0040	313.0
chr10:134151094-134151113_LRRC27_-	LRRC27	507.0
chr5:140966651-140966670_DIAPH1_+	DIAPH1	266.0
chr12:8288257-8288276_CLEC4A_+	CLEC4A	165.0
chr6:42993005-42993024_RRP36_-	RRP36	47.0
chr5:56219618-56219637_MIER3_-	MIER3	194.0
chr5:34925565-34925584_BRIX1_+	BRIX1	270.0
chr5:68728426-68728445_MARVELD2_+	MARVELD2	612.0
chr11:27680032-27680051_BDNF_-	BDNF	353.0
chr8:16974080-16974099_MICU3_+	MICU3	580.0
chrX:69282801-69282820_OTUD6A_+	OTUD6A	692.0
chr15:34295270-34295289_AVEN_-	AVEN	671.0
chr9:43627246-43627265_SPATA31A6_+	SPATA31A6	378.0
chr16:69375488-69375507_NIP7_-	NIP7	52.0
chr1:115272972-115272991_CSDE1_+	CSDE1	566.0
chr8:104452447-104452466_DCAF13_+	DCAF13	47.0
chr1:183944318-183944337_COLGALT2_-	COLGALT2	359.0
chr11:56000602-56000621_OR5T2_+	OR5T2	699.0
chr2:179323250-179323269_DFNB59_+	DFNB59	245.0
chr10:18789841-18789860_CACNB2_+	CACNB2	296.0
chr10:95430594-95430613_FRA10AC1_-	FRA10AC1	474.0
chr14:35488215-35488234_SRP54_+	SRP54	18.0
chr15:67459170-67459189_SMAD3_+	SMAD3	696.0
chr10:81053171-81053190_ZMIZ1_+	ZMIZ1	509.0
chr11:6007843-6007862_OR52L1_+	OR52L1	755.0
chr1:32687528-32687547_TMEM234_+	TMEM234	196.0
chr5:82841373-82841392_VCAN_+	VCAN	300.0
chr6:4995480-4995499_RPP40_-	RPP40	150.0
chr20:49348324-49348343_PARD6B_+	PARD6B	665.0
chr17:41835925-41835944_SOST_-	SOST	258.0
chr10:75885937-75885956_AP3M1_-	AP3M1	720.0
chr9:35811792-35811811_SPAG8_+	SPAG8	643.0
chr1:60325979-60325998_HOOK1_+	HOOK1	373.0
chr1:62908948-62908967_USP1_+	USP1	307.0
chr14:20404271-20404290_OR4K1_-	OR4K1	496.0
chr17:64876703-64876722_CACNG5_-	CACNG5	637.0
chr11:65423328-65423347_RELA_-	RELA	233.0
chr11:61179291-61179310_CPSF7_+	CPSF7	384.0
chr14:70925366-70925385_ADAM21_+	ADAM21	262.0
chr22:50854528-50854547_PPP6R2_+	PPP6R2	464.0
chr3:150263510-150263529_SERP1_+	SERP1	333.0
chrX:15529600-15529619_BMX_+	BMX	0.0
chr14:24026373-24026392_THTPA_+	THTPA	551.0
chr3:50683626-50683645_MAPKAPK3_+	MAPKAPK3	478.0
chr19:1807198-1807217_ATP8B3_+	ATP8B3	480.0
chr7:77166912-77166931_PTPN12_+	PTPN12	397.0
chr22:23438039-23438058_GNAZ_+	GNAZ	551.0
chr5:172341779-172341798_ERGIC1_+	ERGIC1	573.0
chr2:102788342-102788361_IL1R1_+	IL1R1	698.0
chr11:6190577-6190596_OR52B2_+	OR52B2	395.0
chrX:41519701-41519720_CASK_-	CASK	196.0
chr22:50277455-50277474_ZBED4_+	ZBED4	484.0
chr11:67274946-67274965_CDK2AP2_-	CDK2AP2	291.0
chr20:17716350-17716369_BANF2_+	BANF2	524.0
chr11:114393759-114393778_NXPE1_-	NXPE1	1410.0
chr4:153691383-153691402_TIGD4_-	TIGD4	187.0
chr17:28548752-28548771_SLC6A4_+	SLC6A4	413.0
chr12:26275591-26275610_BHLHE41_-	BHLHE41	274.0
chr4:144106854-144106873_USP38_-	USP38	398.0
chr4:120240217-120240236_FABP2_-	FABP2	193.0
chr2:201997816-201997835_CFLAR_+	CFLAR	398.0
chr7:151135301-151135320_CRYGN_-	CRYGN	496.0
chr6:106756241-106756260_ATG5_-	ATG5	312.0
chr15:55724733-55724752_DYX1C1_-	DYX1C1	386.0
chr9:34343385-34343404_NUDT2_+	NUDT2	609.0
chr12:72300841-72300860_TBC1D15_+	TBC1D15	230.0
chr7:30791767-30791786_INMT_+	INMT	448.0
chr11:3659998-3660017_ART5_+	ART5	396.0
chr12:133102320-133102339_FBRSL1_+	FBRSL1	430.0
chr5:95759119-95759138_PCSK1_+	PCSK1	789.0
chr1:156948130-156948149_ARHGEF11_+	ARHGEF11	370.0
chr20:30232639-30232658_COX4I2_+	COX4I2	706.0
chr2:95773985-95774004_MRPS5_-	MRPS5	148.0
chr5:167798505-167798524_WWC1_-	WWC1	509.0
chr8:124373849-124373868_ATAD2_+	ATAD2	504.0
chr10:90521239-90521258_LIPN_+	LIPN	631.0
chr13:96212466-96212485_CLDN10_+	CLDN10	339.0
chr12:88553984-88554003_TMTC3_+	TMTC3	677.0
chr4:8284187-8284206_HTRA3_-	HTRA3	301.0
chr5:110439566-110439585_WDR36_+	WDR36	95.0
chr15:78385074-78385093_SH2D7_-	SH2D7	139.0
chrX:135574201-135574220_BRS3_-	BRS3	805.0
chr14:81972491-81972510_SEL1L_-	SEL1L	557.0
chr18:28908221-28908240_DSG1_-	DSG1	381.0
chr14:60925448-60925467_C14orf39_-	C14orf39	552.0
chrX:123019694-123019713_XIAP_-	XIAP	240.0
chr19:57029925-57029944_ZNF471_+	ZNF471	393.0
chr20:23350749-23350768_GZF1_-	GZF1	112.0
chr4:168155154-168155173_SPOCK3_-	SPOCK3	783.0
chr2:96657433-96657452_ANKRD36C_-	ANKRD36C	251.0
chr5:153674440-153674459_GALNT10_+	GALNT10	314.0
chr10:93904801-93904820_CPEB3_+	CPEB3	198.0
chr1:70452017-70452036_LRRC7_-	LRRC7	253.0
chr3:100148725-100148744_LNP1_-	LNP1	370.0
chr3:56330131-56330150_ERC2_-	ERC2	49.0
chr17:4210354-4210373_UBE2G1_-	UBE2G1	518.0
chr6:31839259-31839278_SLC44A4_-	SLC44A4	545.0
chr6:31922132-31922151_NELFE_-	NELFE	252.0
chr6:131540940-131540959_AKAP7_-	AKAP7	101.0
chr13:25077766-25077785_PARP4_+	PARP4	200.0
chr17:51064609-51064628_C17orf112_+	C17orf112	503.0
chr17:26982443-26982462_SDF2_-	SDF2	516.0
chr11:63764099-63764118_OTUB1_+	OTUB1	129.0
chr8:62289185-62289204_CLVS1_-	CLVS1	426.0
chr1:157736716-157736735_FCRL2_-	FCRL2	377.0
chr11:34673345-34673364_EHF_-	EHF	184.0
chr18:12262910-12262929_CIDEA_+	CIDEA	373.0
chr17:39465273-39465292_KRTAP16-1_+	KRTAP16-1	466.0
chr1:92185577-92185596_TGFBR3_+	TGFBR3	384.0
chr8:39442846-39442865_ADAM18_+	ADAM18	399.0
chr5:1235677-1235696_SLC6A18_+	SLC6A18	959.0
chr12:100957189-100957208_NR1H4_-	NR1H4	187.0
chr19:35451165-35451184_ZNF792_-	ZNF792	412.0
chr7:72718807-72718826_NSUN5_+	NSUN5	220.0
chr9:107379965-107379984_OR13C9_+	OR13C9	344.0
chr3:190159238-190159257_TMEM207_-	TMEM207	370.0
chr1:89732052-89732071_GBP5_-	GBP5	665.0
chr9:35093500-35093519_PIGO_-	PIGO	518.0
chrX:83374907-83374926_RPS6KA6_+	RPS6KA6	333.0
chr7:1498868-1498887_MICALL2_-	MICALL2	753.0
chr4:156135858-156135877_NPY2R_+	NPY2R	185.0
chr6:123892139-123892158_TRDN_+	TRDN	630.0
chr12:110905983-110906002_GPN3_+	GPN3	0.0
chrX:47058736-47058755_UBA1_+	UBA1	20.0
chr10:61005254-61005273_PHYHIPL_-	PHYHIPL	475.0
chr19:51412583-51412602_KLK4_+	KLK4	1187.0
chr7:139313759-139313778_HIPK2_-	HIPK2	507.0
chr1:6653602-6653621_KLHL21_-	KLHL21	460.0
chr1:117156416-117156435_IGSF3_-	IGSF3	177.0
chrX:154033629-154033648_MPP1_-	MPP1	409.0
chr10:97442933-97442952_TCTN3_-	TCTN3	604.0
chr16:66878391-66878410_CA7_+	CA7	492.0
chr12:54736061-54736080_COPZ1_-	COPZ1	241.0
chr11:100863040-100863059_TMEM133_+	TMEM133	235.0
chr7:100253067-100253086_ACTL6B_+	ACTL6B	1092.0
chr5:146030141-146030160_PPP2R2B_-	PPP2R2B	620.0
chr7:32909149-32909168_KBTBD2_-	KBTBD2	339.0
chr6:39839317-39839336_DAAM2_+	DAAM2	264.0
chr7:37960802-37960821_EPDR1_-	EPDR1	752.0
chr6:55039486-55039505_HCRTR2_+	HCRTR2	394.0
chr1:65344776-65344795_JAK1_-	JAK1	250.0
chr17:19646607-19646626_ALDH3A1_+	ALDH3A1	605.0
chr4:69327582-69327601_TMPRSS11E_-	TMPRSS11E	1064.0
chr20:44238792-44238811_WFDC9_+	WFDC9	270.0
chr1:47767967-47767986_STIL_+	STIL	94.0
chr17:4607439-4607458_PELP1_+	PELP1	241.0
chr7:73753191-73753210_CLIP2_-	CLIP2	289.0
chr17:37099886-37099905_FBXO47_-	FBXO47	297.0
chr17:18167756-18167775_MIEF2_+	MIEF2	420.0
chr16:72042650-72042669_DHODH_+	DHODH	30.0
chrX:2712600-2712619_XG_+	XG	920.0
chr9:129455493-129455512_LMX1B_+	LMX1B	341.0
chr12:10339128-10339147_TMEM52B_-	TMEM52B	929.0
chr11:49974356-49974375_OR4C13_-	OR4C13	174.0
chr6:7182145-7182164_RREB1_+	RREB1	854.0
chr10:72164252-72164271_EIF4EBP2_+	EIF4EBP2	280.0
chr16:20386208-20386227_PDILT_+	PDILT	206.0
chr7:21603924-21603943_DNAH11_-	DNAH11	454.0
chr10:52595871-52595890_A1CF_+	A1CF	254.0
chr10:45495830-45495849_C10orf25_+	C10orf25	350.0
chr2:228497713-228497732_C2orf83_-	C2orf83	401.0
chr3:17131351-17131370_PLCL2_-	PLCL2	542.0
chr9:34343143-34343162_NUDT2_+	NUDT2	639.0
chr1:110116655-110116674_GNAI3_-	GNAI3	363.0
chr16:15973703-15973722_FOPNL_+	FOPNL	326.0
chr19:15198264-15198283_OR1I1_-	OR1I1	488.0
chr5:64079712-64079731_CWC27_-	CWC27	420.0
chr1:247614866-247614885_OR2B11_+	OR2B11	793.0
chr19:33642136-33642155_WDR88_-	WDR88	284.0
chr17:57326118-57326137_GDPD1_-	GDPD1	661.0
chr17:10614217-10614236_ADPRM_-	ADPRM	388.0
chr2:170782196-170782215_UBR3_-	UBR3	253.0
chr18:55983261-55983280_NEDD4L_-	NEDD4L	729.0
chr1:28880241-28880260_TRNAU1AP_-	TRNAU1AP	24.0
chr1:182635108-182635127_RGS8_+	RGS8	897.0
chr1:114301296-114301315_PHTF1_-	PHTF1	253.0
chr4:39606721-39606740_SMIM14_+	SMIM14	118.0
chr19:42569856-42569875_GRIK5_+	GRIK5	197.0
chr11:36614375-36614394_RAG2_+	RAG2	443.0
chr18:39584426-39584445_PIK3C3_-	PIK3C3	7.0
